domain,status,source,url,failure_reason
tripadvisor.it,not_found,,,homepage_unreachable
hostedxl.nl,not_found,,,homepage_unreachable
doctolib.fr,skipped,existing_file,,
thomann.de,skipped,existing_file,,
centrum.cz,not_found,,,no_privacy_links
huffingtonpost.fr,not_found,,,no_privacy_links
skynet.be,skipped,existing_file,,
tudelft.nl,skipped,existing_file,,
francetvinfo.fr,not_found,,,no_privacy_links
credit-agricole.fr,not_found,,,no_privacy_links
stealth.si,not_found,,,homepage_unreachable
dn.se,not_found,,,no_privacy_links
tori.fi,skipped,existing_file,,
rae.es,skipped,existing_file,,
uva.nl,skipped,existing_file,,
rtbf.be,not_found,,,no_privacy_links
paris.fr,not_found,,,no_privacy_links
kuleuven.be,skipped,existing_file,,
blogspot.com.es,skipped,existing_file,,
delfi.lt,not_found,,,no_privacy_links
avant.si,not_found,,,no_privacy_links
hs.fi,not_found,,,no_privacy_links
carrefour.fr,not_found,,,homepage_unreachable
uni-muenchen.de,skipped,existing_file,,
wyborcza.pl,skipped,existing_file,,
immowelt.de,not_found,,,homepage_unreachable
vodafone-ip.de,not_found,,,homepage_unreachable
goneo.de,not_found,,,no_privacy_links
blogspot.fr,skipped,existing_file,,
cyberfolks.pl,not_found,,,no_privacy_links
nlnetlabs.nl,skipped,existing_file,,
tiscali.it,not_found,,,homepage_unreachable
agenziaentrate.gov.it,skipped,existing_file,,
xs4all.nl,skipped,existing_file,,
sonnenbatterie.de,skipped,existing_file,,
netnod.se,skipped,existing_file,,
virgilio.it,not_found,,,no_privacy_links
rp-online.de,not_found,,,no_privacy_links
raiplay.it,skipped,existing_file,,
justpaste.it,skipped,existing_file,,
adac.de,not_found,,,no_privacy_links
carnet.hr,skipped,existing_file,,
belgium.be,skipped,existing_file,,
rug.nl,skipped,existing_file,,
ilmessaggero.it,skipped,existing_file,,
giga.de,found,homepage_link,https://www.giga.de/tech/legal-in-deutschland-dank-datenschutzmodus-beliebte-2-7k-dashcam-mit-parkmodus-bei-amazon-zum-spottpreis--01K06RANX8H9Y12JV1D2WD1Z40,
